month,department,budget_revenue,actual_revenue,budget_expense,actual_expense
2023-07,Sales,577947,694812,290325,282139
2024-08,Marketing,479586,363338,173741,176476
2024-03,IT,632473,715278,286323,320801
2023-11,Marketing,691424,712178,270938,272349
2023-08,Finance,523137,581141,303161,339689
2024-09,HR,224823,209971,82844,88403
2023-07,Operations,790233,622552,336619,301274
2024-07,Operations,186203,199263,109459,87245
2024-11,Finance,182430,161830,72172,82099
2023-11,Marketing,567086,472612,279787,362876
2023-11,Operations,665438,560160,262860,375970
2024-12,Marketing,500587,536684,166796,198540
2024-09,IT,787667,800848,384589,487900
2023-04,Finance,522355,571402,300254,336049
2023-08,Marketing,329360,355803,143525,157203
2024-12,IT,355131,337192,173251,184798
2023-03,Marketing,682312,676541,329331,340570
2024-10,Marketing,559742,525389,237625,271144
2024-09,Operations,616608,601045,298727,290335
2023-02,Sales,323445,285902,122196,125603
2024-12,HR,256123,268124,105884,92469
2023-12,Marketing,273410,308683,118303,132645
2023-06,Marketing,176560,159258,98732,89464
2023-02,Marketing,313035,361164,126622,133594
2024-09,Sales,362601,367540,177870,200116
2023-01,IT,687677,707571,250328,284844
2023-12,Finance,497651,396164,187002,217993
2024-10,Operations,333076,260841,164715,167680
2023-12,Sales,316336,321806,167244,187799
2024-05,IT,72836,79738,31948,31213
2023-10,Marketing,336981,309831,134970,101817
2024-04,IT,691316,829863,396180,447503
2024-03,Sales,175172,190620,59688,65344
2024-03,Sales,334922,298415,172891,207814
2024-07,Sales,93130,93474,47221,49402
2023-12,Finance,328852,426597,166752,134989
2024-11,HR,419625,357055,243645,252478
2024-08,Operations,205304,218318,106441,125918
2023-03,Finance,238338,229107,93063,104361
2023-05,Finance,579070,628191,235115,241695
2024-07,HR,504412,581119,210507,168503
2023-07,Finance,731675,697762,226265,202755
2024-09,Sales,322196,365457,184957,207445
2023-09,Sales,774794,981311,249534,199683
2023-07,IT,263827,265925,134535,134839
2024-06,Marketing,381834,417797,198190,209241
2023-04,Finance,609834,566625,337308,412355
2024-02,Marketing,784705,786518,365679,417668
2024-06,Operations,207044,202654,107161,127995
2023-09,Sales,679001,743935,265365,290648
2024-09,IT,305628,349809,160049,147755
2023-02,Operations,676905,667997,272809,261337
2024-08,IT,72030,85286,41118,37421
2024-03,HR,567933,672208,198216,225692
2023-07,Sales,791001,871384,312229,295341
2023-12,Operations,139831,131172,62872,62299
2023-08,HR,127400,118046,67873,71495
